Participant,Condition,Gender,Cohort,Timepoint,Semester_Week,Test_Version,Part,Question,Item,Score,Item-Level Accuracy,Accuracy_Raw,Baseline_Threat,EMA_Threat,perception,rating
mvU3yT4uTFpW58Z0,Control,Men,Cohort 1,Baseline,1.9127516778523486,B,Quantitative,1,B01,0,-0.4354198473282452,0,1.631319910514541,3.4166666666666665,Confidence,1
mvU3yT4uTFpW58Z0,Control,Men,Cohort 1,Baseline,1.9127516778523486,B,Quantitative,1,B01,0,-0.4354198473282452,0,1.631319910514541,3.4166666666666665,Anxiety,6
mvU3yT4uTFpW58Z0,Control,Men,Cohort 1,Baseline,1.9127516778523486,B,Quantitative,1,B01,0,-0.4354198473282452,0,1.631319910514541,3.4166666666666665,Difficulty,6
mvU3yT4uTFpW58Z0,Control,Men,Cohort 1,Baseline,1.9127516778523486,B,Categorization,2,B02,0,-0.4354198473282452,0,1.631319910514541,3.4166666666666665,Confidence,5
mvU3yT4uTFpW58Z0,Control,Men,Cohort 1,Baseline,1.9127516778523486,B,Categorization,2,B02,0,-0.4354198473282452,0,1.631319910514541,3.4166666666666665,Anxiety,6
mvU3yT4uTFpW58Z0,Control,Men,Cohort 1,Baseline,1.9127516778523486,B,Categorization,2,B02,0,-0.4354198473282452,0,1.631319910514541,3.4166666666666665,Difficulty,2
mvU3yT4uTFpW58Z0,Control,Men,Cohort 1,Baseline,1.9127516778523486,B,Categorization,3,B03,1,0.5645801526717549,1,1.631319910514541,3.4166666666666665,Confidence,4
mvU3yT4uTFpW58Z0,Control,Men,Cohort 1,Baseline,1.9127516778523486,B,Categorization,3,B03,1,0.5645801526717549,1,1.631319910514541,3.4166666666666665,Anxiety,6
mvU3yT4uTFpW58Z0,Control,Men,Cohort 1,Baseline,1.9127516778523486,B,Categorization,3,B03,1,0.5645801526717549,1,1.631319910514541,3.4166666666666665,Difficulty,3
mvU3yT4uTFpW58Z0,Control,Men,Cohort 1,Baseline,1.9127516778523486,B,Categorization,4,B04,0,-0.4354198473282452,0,1.631319910514541,3.4166666666666665,Confidence,5
mvU3yT4uTFpW58Z0,Control,Men,Cohort 1,Baseline,1.9127516778523486,B,Categorization,4,B04,0,-0.4354198473282452,0,1.631319910514541,3.4166666666666665,Anxiety,6
